"Response ID","Date submitted","Last page","Start language","Date started","Date last action","IP address","Dieses Survey dient dazu die NLQ-Fragebögen zu digitalisieren. Bei Fragen wenden Sie sich bitte an ihren Auftraggeber! Möge die Arbeit schnell und entspannend von der Hand gehen!","Links unten befindet sich ein Schul-code (z.B. GSWF100). Trage diesen hier ein:","Auf dem Fragebogen ist unten links eine Zahl mit Kugelschreiber hinzugefügt worden (z.B. 1). Trage diese hier ein:","Trage jeden Satz in eine neue Zeile ein. Übernehme alles - auch Fehler! Kommentare, falls Zeichnungen gemacht wurden können mit ""{ }"" angegeben werden. []","Trage jeden Satz in eine neue Zeile ein. Übernehme alles - auch Fehler! Kommentare, falls Zeichnungen gemacht wurden können mit ""{ }"" angegeben werden. []","Trage jeden Satz in eine neue Zeile ein. Übernehme alles - auch Fehler! Kommentare, falls Zeichnungen gemacht wurden können mit ""{ }"" angegeben werden. []","Trage jeden Satz in eine neue Zeile ein. Übernehme alles - auch Fehler! Kommentare, falls Zeichnungen gemacht wurden können mit ""{ }"" angegeben werden. []","Trage jeden Satz in eine neue Zeile ein. Übernehme alles - auch Fehler! Kommentare, falls Zeichnungen gemacht wurden können mit ""{ }"" angegeben werden. []","Trage jeden Satz in eine neue Zeile ein. Übernehme alles - auch Fehler! Kommentare, falls Zeichnungen gemacht wurden können mit ""{ }"" angegeben werden. []","Trage jeden Satz in eine neue Zeile ein. Übernehme alles - auch Fehler! Kommentare, falls Zeichnungen gemacht wurden können mit ""{ }"" angegeben werden. []","Trage jeden Satz in eine neue Zeile ein. Übernehme alles - auch Fehler! Kommentare, falls Zeichnungen gemacht wurden können mit ""{ }"" angegeben werden. []","Trage jeden Satz in eine neue Zeile ein. Übernehme alles - auch Fehler! Kommentare, falls Zeichnungen gemacht wurden können mit ""{ }"" angegeben werden. []","Trage jeden Satz in eine neue Zeile ein. Übernehme alles - auch Fehler! Kommentare, falls Zeichnungen gemacht wurden können mit ""{ }"" angegeben werden. []","Trage jeden Satz in eine neue Zeile ein. Übernehme alles - auch Fehler! Kommentare, falls Zeichnungen gemacht wurden können mit ""{ }"" angegeben werden. []","Trage jeden Satz in eine neue Zeile ein. Übernehme alles - auch Fehler! Kommentare, falls Zeichnungen gemacht wurden können mit ""{ }"" angegeben werden. []","Trage jeden Satz in eine neue Zeile ein. Übernehme alles - auch Fehler! Kommentare, falls Zeichnungen gemacht wurden können mit ""{ }"" angegeben werden. []","Trage jeden Satz in eine neue Zeile ein. Übernehme alles - auch Fehler! Kommentare, falls Zeichnungen gemacht wurden können mit ""{ }"" angegeben werden. []","Trage jeden Satz in eine neue Zeile ein. Übernehme alles - auch Fehler! Kommentare, falls Zeichnungen gemacht wurden können mit ""{ }"" angegeben werden. []","Umseitig bei ""2."" sind mehrere Smileys abgebildet. Übertrage die gemachten Kreuze genau wie diese auf dem Fragebogen angegeben sind: also von :D über :( bis zu ""ich weiß nicht"" die korrespondierenden Felder anklicken. Letztlich wird das Muster aus Kreuzen vom Fragebogen genauso auf Lime-Survey übertragen. NUR komplett leere Zeilen (wo also noch nicht einmal ""ich weiß nicht"" angekreuzt wurde) erhalten ein ""no answer""! [ich möchte mehr über Informatik und Technik lernen.]","Umseitig bei ""2."" sind mehrere Smileys abgebildet. Übertrage die gemachten Kreuze genau wie diese auf dem Fragebogen angegeben sind: also von :D über :( bis zu ""ich weiß nicht"" die korrespondierenden Felder anklicken. Letztlich wird das Muster aus Kreuzen vom Fragebogen genauso auf Lime-Survey übertragen. NUR komplett leere Zeilen (wo also noch nicht einmal ""ich weiß nicht"" angekreuzt wurde) erhalten ein ""no answer""! []","Umseitig bei ""2."" sind mehrere Smileys abgebildet. Übertrage die gemachten Kreuze genau wie diese auf dem Fragebogen angegeben sind: also von :D über :( bis zu ""ich weiß nicht"" die korrespondierenden Felder anklicken. Letztlich wird das Muster aus Kreuzen vom Fragebogen genauso auf Lime-Survey übertragen. NUR komplett leere Zeilen (wo also noch nicht einmal ""ich weiß nicht"" angekreuzt wurde) erhalten ein ""no answer""! []","Umseitig bei ""2."" sind mehrere Smileys abgebildet. Übertrage die gemachten Kreuze genau wie diese auf dem Fragebogen angegeben sind: also von :D über :( bis zu ""ich weiß nicht"" die korrespondierenden Felder anklicken. Letztlich wird das Muster aus Kreuzen vom Fragebogen genauso auf Lime-Survey übertragen. NUR komplett leere Zeilen (wo also noch nicht einmal ""ich weiß nicht"" angekreuzt wurde) erhalten ein ""no answer""! []","Umseitig bei ""2."" sind mehrere Smileys abgebildet. Übertrage die gemachten Kreuze genau wie diese auf dem Fragebogen angegeben sind: also von :D über :( bis zu ""ich weiß nicht"" die korrespondierenden Felder anklicken. Letztlich wird das Muster aus Kreuzen vom Fragebogen genauso auf Lime-Survey übertragen. NUR komplett leere Zeilen (wo also noch nicht einmal ""ich weiß nicht"" angekreuzt wurde) erhalten ein ""no answer""! [Ich möchte später einen Beruf haben, der wenig mit Computern und Technik zu tun hat.]","Hier die Antwort zu Geschlecht übertragen."
"60","2019-01-06 18:26:41","1","en","2019-01-06 18:25:04","2019-01-06 18:26:41","93.216.29.88","","GSWF103","6","Wie stehlt man hauch dünne Fernser her.","Ich würd ihn fragn wie man ein Programm macht für Sprachgesteuerte Roboter.","","","","","","","","","","","","","","1","1","1","1","4","Junge"
"61","2019-01-06 18:31:08","1","en","2019-01-06 18:26:43","2019-01-06 18:31:08","93.216.29.88","","GSWF103","7","Wie lange hält ein Akk von einem Handy?","Wieso gibtes Handys, Tablets und Computer?","Was tut man wenn das Handy nicht angeht aber aufgeladen ist?","Wenn kann länger behalten: Handy oder Tablet?","","","","","","","","","","","","1","5","1","4","2","Mädchen"
"62","2019-01-06 18:33:22","1","en","2019-01-06 18:31:10","2019-01-06 18:33:22","93.216.29.88","","GSWF103","8","Was ist das Handy der Zukunft?","Wird in der zukunft jeder ein Roboter haben?","Werden es bald nur noch 3D Durker gebenn?","Gibt es bald nur noch Computer Handys usw.","In der Luft und nicht mehr Fest?","","","","","","","","","","","2","1","1","1","4","Junge"
"64","2019-01-06 18:36:28","1","en","2019-01-06 18:34:27","2019-01-06 18:36:28","93.216.29.88","","GSWF103","9","Ich würde mir erst einmal die wichtigsten sachen erklähren lassen.","Da ich mich mit Internet aigendlich gar nicht aus kenne, und in meiner Freieit nichts mit Internet am Hut Habe.","","","","","","","","","","","","","","3","3","3","3","1","Mädchen"
"65","2019-01-06 18:37:41","1","en","2019-01-06 18:36:31","2019-01-06 18:37:41","93.216.29.88","","GSWF103","10","Wie kann man sachen auf einen Stik ziehen?","Wie Lange halten Handy und Computer Akkus?","","","","","","","","","","","","","","2","4","2","3","2","Mädchen"
"66","2019-01-06 18:38:53","1","en","2019-01-06 18:37:44","2019-01-06 18:38:53","93.216.29.88","","GSWF103","11","Wie funkzionirt das Internet genau?","mit den vieler wepseiten und so.","","","","","","","","","","","","","","1","2","2","3","2","Mädchen"
"67","2019-01-06 18:39:28","1","en","2019-01-06 18:39:00","2019-01-06 18:39:28","93.216.29.88","","GSWF103","12","","","","","","","","","","","","","","","","1","1","1","1","4","Junge"
"68","2019-01-06 18:40:11","1","en","2019-01-06 18:39:32","2019-01-06 18:40:11","93.216.29.88","","GSWF103","13","Ich habe keine fragen.","","","","","","","","","","","","","","","1","2","1","2","3","Junge"
"69","2019-01-06 18:41:21","1","en","2019-01-06 18:40:16","2019-01-06 18:41:21","93.216.29.88","","GSWF103","14","Wie kann man Zoruhr herunter laden","","","","","","","","","","","","","","","5","2","2","2","3","Junge"
"70","2019-01-06 18:43:26","1","en","2019-01-06 18:41:23","2019-01-06 18:43:26","93.216.29.88","","GSWF103","15","Wie werden Roboter Programirt?","was soll man machen Wenn ein Computer abstürzt?","Wenn ein handy Kaput ist wie bekommt dam seine daten und bilder runter?","Wie Kam man Roboter steuern?","","","","","","","","","","","","1","2","1","4","1","Mädchen"
"71","2019-01-06 18:44:08","1","en","2019-01-06 18:43:27","2019-01-06 18:44:08","93.216.29.88","","GSWF103","16","Wieso gibt es Computer und wie werden sie gebaut.","","","","","","","","","","","","","","","1","1","1","1","5","keine Antwort"
"72","2019-01-06 18:47:36","1","en","2019-01-06 18:44:51","2019-01-06 18:47:36","93.216.29.88","","GSWF106","1","Würden Roboter die Menschliche arbeit übernehmen?","","","","","","","","","","","","","","","1","2","1","1","3","Junge"
"73","2019-01-06 18:52:58","1","en","2019-01-06 18:47:38","2019-01-06 18:52:58","93.216.29.88","","GSWF106","2","Spielzt du noch drausen oder hokst du den ganzen tag form bittschirm.","Warum kenst du sofiel über das internet und anderen sachen fon kompiuter. ","hast du fiele freunde.","","","","","","","","","","","","","4","4","4","4","1","Junge"
"74","2019-01-06 18:54:18","1","en","2019-01-06 18:53:01","2019-01-06 18:54:18","93.216.29.88","","GSWF106","3","Können Roboter eine Fußball WM spielen?","Können Autos ohne uns fahren?","Wann wurde der erste Robote Gbaud?","","","","","","","","","","","","","1","2","1","4","1","Junge"
"75","2019-01-06 18:55:52","1","en","2019-01-06 18:54:20","2019-01-06 18:55:52","93.216.29.88","","GSWF106","4","Ich würde fragen wie ei Handy gemacht wird?","Oder wie ein Roboter gemacht wird?.","","","","","","","","","","","","","","5","1","1","5","2","Mädchen"
"76","2019-01-06 18:57:37","1","en","2019-01-06 18:55:55","2019-01-06 18:57:37","93.216.29.88","","GSWF106","5","Können Roboter irgendwan unns die Arbeit erfülen?","Warum dürfen Kinder schon Wahts app haben?","Wozu braucht man Täblätz?","","","","","","","","","","","","","2","1","2","3","2","Mädchen"
"77","2019-01-06 18:59:46","1","en","2019-01-06 18:57:39","2019-01-06 18:59:46","93.216.29.88","","GSWF106","6","Würden ürgendwann mal Roborter die Menschlich-en Arbeiten übernehmen?","Gibt es auch Kopfhörer wo man z.B . sagt: 'Kopfhörer, spiele Bla bla bla!' ?","Haben alle Elektrische Geräte Gold in sich drinne?","","","","","","","","","","","","","2","2","","5","5","Junge"
"78","2019-01-06 19:01:25","1","en","2019-01-06 18:59:50","2019-01-06 19:01:25","93.216.29.88","","GSWF106","7","Wie Baut ihr Hendys und andere sachen?","Können Roborter auch für uns arbeiten?","Wie enstet elektronick?","Wie macht ihr spiele für Kinder?","","","","","","","","","","","","4","2","1","4","1","Mädchen"
"79","2019-01-06 19:02:45","1","en","2019-01-06 19:01:26","2019-01-06 19:02:45","93.216.29.88","","GSWF106","8","Warum gibt es Inlernet?","Könn Roboter bald fligen?","Wie ist das Internet entstanden?","","","","","","","","","","","","","2","2","1","3","2","Mädchen"
"80","2019-01-06 19:04:09","1","en","2019-01-06 19:02:47","2019-01-06 19:04:09","93.216.29.88","","GSWF106","9","Wie viele PC, PS4, PS3, X Box one, wurden schon her-gestelt.","wan werden Roboter gehen.","Wann werden Roboter uns ersetzen Konnen.","","","","","","","","","","","","","2","1","3","5","5","Junge"
"81","2019-01-06 19:05:56","1","en","2019-01-06 19:04:10","2019-01-06 19:05:56","93.216.29.88","","GSWF106","10","Wan gibt selbsfahrene Autos?","Wan gibts es seibs fliegene Prop wo man sich Reinsezen Kann??!","","","","","","","","","","","","","","3","3","4","4","1","Junge"
"82","2019-01-06 19:06:27","1","en","2019-01-06 19:06:02","2019-01-06 19:06:27","93.216.29.88","","GSWF106","11","","","","","","","","","","","","","","","","2","2","1","1","4","Junge"
